jockey,jockey_starts,jockey_siegrate
Voher:Tommaso ScardinoAnna van den Troost,0,0.0
Voher:Thore Hammer-HansenMichal Abik,0,0.0
Voher:Thore Hammer-HansenAnna van den Troost,0,0.0
Karolina Hroskova,0,0.0
Naomi Verheij,0,0.0
Voher:Hugo BoutinMartin Seidl,0,0.0
Voher:Rene PiechulekLeon Wolff,0,0.0
Voher:Tommaso ScardinoMichal Abik,0,0.0
Voher:Rene PiechulekMichal Abik,0,0.0
Voher:Michael CadedduEsther Ruth Weißmeier,0,0.0
Voher:Nicol PolliRene Koplik,0,0.0
Voher:Shuichi TerachiErhan Yavuz,0,0.0
Voher:Nicol PolliMartin Laube,0,0.0
Voher:e. WeißmeierEsther Ruth Weißmeier,0,0.0
Voher:Nicol PolliShuichi Terachi,0,0.0
Voher:Nicol PolliSean Byrne,0,0.0
Voher:Patrick GibsonAnna van den Troost,0,0.0
Voher:Jiri PalikJiri Palik,0,0.0
Sabina Mokrosova,1,0.0
Voher:Martin LaubeM. Laube,0,0.0
Vedat Abis,1,0.0
Hugo Besnier,0,0.0
Radek Koplik,0,0.0
Katharina Heise,0,0.0
Laura Coughlan,0,0.0
Voher:Konstantin PhillipAndrea Ricupa,0,0.0
Lucie Fialova,1,0.0
Voher:Konstantin PhillipNina Baltromei,1,0.0
Voher:Konstantin PhillipEduardo Pedroza,0,0.0
Voher:Nina BaltromeiMiguel Lopez,0,0.0
Voher:Josef BojkoJozef Bojko,0,0.0
Voher:Nina BaltromeiRene Koplik,0,0.0
Voher:Leon WolffRene Piechulek,0,0.0
Voher:Sibylle VogtRene Piechulek,0,0.0
Voher:Sibylle VogtJozef Bojko,0,0.0
Voher:Sibylle VogtPatrick Gibson,0,0.0
Voher:Sibylle VogtMirko Sanna,0,0.0
Laura Grosso,0,0.0
Voher:Sibylle VogtWladimir Panov,0,0.0
Voher:Sibylle VogtBayarsaikhan Ganbat,0,0.0
Voher:Sibylle VogtMichael Cadeddu,2,0.5
David Egan,0,0.0
Angeline Batist/Niederlande,0,0.0
Helen Böhler,0,0.0
Seppe Balcaen,1,1.0
Silvestre De Sousa,2,0.5
Tommaso Scardino,25,0.16
Stephane Breux,1,0.0
Voher:Sarah WinkelerKonstantin Phillip,0,0.0
Judith Dickinson,0,0.0
Helene Sourbe/Frankreich,0,0.0
Kevin Stott,0,0.0
Voher:Patrick GibsonMirko Sanna,0,0.0
Jerome Moutard,0,0.0
Vivien Itzen,4,0.0
Voher:Thore Hammer-HansenJosef Bojko,0,0.0
Voher:Sean ByrneElodie Marie Palau Teruel,0,0.0
Zsofia Pancsik,2,0.0
Voher:Sean ByrneAnna van den Troost,0,0.0
Giulia Pellegrini,0,0.0
Voher:Oisin MurphyLilli-Marie Engels,0,0.0
Tony Piccone,1,0.0
Voher:Janina BoysenMartin Seidl,0,0.0
