jockey,jockey_starts,jockey_siegrate
Thore Hammer-Hansen,871.0,0.1848
Leon Wolff,665.0,0.1579
Martin Seidl,657.0,0.102
Michael Cadeddu,635.0,0.0835
Rene Piechulek,575.0,0.1461
Jozef Bojko,564.0,0.0603
Sean Byrne,550.0,0.1091
Sibylle Vogt,539.0,0.1484
Michal Abik,537.0,0.0764
Miguel Lopez,477.0,0.0671
Eduardo Pedroza,471.0,0.1529
Anna van den Troost,464.0,0.0862
Bauyrzhan Murzabayev,459.0,0.1656
Wladimir Panov,446.0,0.1256
Lilli-Marie Engels,431.0,0.1206
Nina Baltromei,375.0,0.1547
Alexander Pietsch,365.0,0.0795
Andrea Ricupa,364.0,0.1401
Adrie de Vries,354.0,0.1977
David Liska,310.0,0.1226
Andrasch Starke,286.0,0.1399
Michaela Malacova,251.0,0.0916
Senan Macredmond,249.0,0.1205
Patrick Gibson,249.0,0.0402
Bayarsaikhan Ganbat,231.0,0.0779
Concetto Santangelo,226.0,0.0442
Tomas Roman,210.0,0.1095
Hugo Boutin,177.0,0.1243
Janina Boysen,169.0,0.1006
Stefanie Koyuncu,160.0,0.0625
Esentur Turganaaly Uulu,149.0,0.1611
Robin Weber,131.0,0.1527
Konstantin Phillip,119.0,0.1513
Bertrand Flandrin,118.0,0.1271
Benjamin Marie,115.0,0.1043
Matthew Sebastian Johnson,104.0,0.1538
Janine Beckmann,87.0,0.0805
Hammer-Hansen Thore,72.0,0.2361
Corentin Berge,71.0,0.0845
Melina Ehm,70.0,0.1143
Pablo Werder,69.0,0.0725
Nicol Polli,66.0,0.0606
Marissa Potters,65.0,0.1538
Jaqueline Laquai,64.0,0.1094
Elodie Marie Palau Teruel,63.0,0.0794
Ulan Kozhomkulov,62.0,0.129
Patricia Tepper,60.0,0.1167
Alina Schubert,59.0,0.0847
Anna-Lena Weidler,58.0,0.069
Nina Wagner,58.0,0.0517
Wolff Leon,57.0,0.193
Vanesa Csernak,57.0,0.0702
E Uulu,55.0,0.1455
Michaela Musialova,54.0,0.0926
Esther Ruth Weißmeier,53.0,0.0755
Maike Riehl,51.0,0.0392
Enzo Crublet,50.0,0.12
Mirko Sanna,49.0,0.0
Adam Florian,49.0,0.0612
Silke Brüggemann,48.0,0.1458
Shuichi Terachi,47.0,0.1064
Marie Gast,44.0,0.0455
Jose Luis Silverio,43.0,0.0698
Kevin Braye,43.0,0.2558
Rene Koplik,42.0,0.0476
Matthew-Sebastian Johnson,41.0,0.122
M Abik,40.0,0.075
Alexander Weis,38.0,0.0263
Lukas Delozier,38.0,0.1316
Martin Laube,37.0,0.1081
Celine Johne,37.0,0.0811
Sina Schmidt,36.0,0.0833
Koen Clijmans,36.0,0.0556
Erhan Yavuz,34.0,0.0
Nora Cronauer,32.0,0.125
Elisabeth Stahlhut,32.0,0.1562
Milan Zatloukal,30.0,0.1667
Swen Straßmeier,29.0,0.1034
Eliska Fialkova,29.0,0.0345
Hakim Tabet,28.0,0.3214
