horse_name,bisherige_starts,bisherige_siege,siegrate_historisch,race_date
Amour de ma Vie,0,0.0,0.0,2024-01-07
Blattgold,0,0.0,0.0,2024-02-04
Bungley,2,0.0,0.0,2024-02-04
Wildfang,0,0.0,0.0,2024-02-04
Nabora,2,0.0,0.0,2024-02-18
Pleione,0,0.0,0.0,2024-02-18
Amoudara,1,1.0,1.0,2024-02-18
Black Dark,0,0.0,0.0,2024-02-18
Willi,3,0.0,0.0,2024-02-18
Bavaria Iron,0,0.0,0.0,2024-02-18
She's Cosmic,0,0.0,0.0,2024-02-18
Iron Thunder,1,0.0,0.0,2024-03-03
Diana Moon,0,0.0,0.0,2024-03-03
Amity Island,1,0.0,0.0,2024-03-03
Blessed,0,0.0,0.0,2024-03-03
Jazzagal,3,1.0,0.3333333333333333,2024-03-10
Mister Applebee,1,1.0,1.0,2024-03-10
Ken Red,0,0.0,0.0,2024-03-10
El Royale,3,0.0,0.0,2024-03-10
Real,0,0.0,0.0,2024-03-17
Regina Lillie,0,0.0,0.0,2024-03-17
Nina's Emperor,0,0.0,0.0,2024-03-24
Nanjo,3,0.0,0.0,2024-03-24
Hot Whispers,1,0.0,0.0,2024-03-24
Kleeblatt,0,0.0,0.0,2024-03-24
Donn Clifs,1,0.0,0.0,2024-03-31
Highland Sweet,0,0.0,0.0,2024-03-31
Square Garibaldi,0,0.0,0.0,2024-03-31
Shahbazi,0,0.0,0.0,2024-03-31
Procellarum,0,0.0,0.0,2024-03-31
Guardian,0,0.0,0.0,2024-04-01
Bukhara,0,0.0,0.0,2024-04-01
We love Harzburg,0,0.0,0.0,2024-04-01
Birthday Lady,0,0.0,0.0,2024-04-01
Golden Moon,0,0.0,0.0,2024-04-06
Privee,1,0.0,0.0,2024-04-07
Waldrose,3,0.0,0.0,2024-04-07
Feroe d'Illiat,0,0.0,0.0,2024-04-07
Alexei,0,0.0,0.0,2024-04-14
Northern Eagle,1,0.0,0.0,2024-04-14
American Flag,0,0.0,0.0,2024-04-14
Gamestop,0,0.0,0.0,2024-04-14
Quizmaster,2,0.0,0.0,2024-04-14
Wolga,0,0.0,0.0,2024-04-14
Lakeside,0,0.0,0.0,2024-04-14
Gina's Lion,0,0.0,0.0,2024-04-21
Samu,1,0.0,0.0,2024-04-21
Keep Bidding,0,0.0,0.0,2024-04-21
Svenya,0,0.0,0.0,2024-04-21
Willemine,0,0.0,0.0,2024-04-21
American Fly,0,0.0,0.0,2024-04-21
Son of Gulizar,2,0.0,0.0,2024-04-21
Nioro,0,0.0,0.0,2024-04-21
Why's Whyoming,1,0.0,0.0,2024-04-21
Semara,1,0.0,0.0,2024-04-21
Ser Snell,1,0.0,0.0,2024-04-28
Magic Merlin,0,0.0,0.0,2024-04-28
Gedöns,0,0.0,0.0,2024-04-28
Nasomo,0,0.0,0.0,2024-04-28
Chaldero,0,0.0,0.0,2024-04-28
Redford,0,0.0,0.0,2024-04-28
Shake your life,2,0.0,0.0,2024-05-01
Colorado Sun,0,0.0,0.0,2024-05-01
Domestic Goddess,2,0.0,0.0,2024-05-01
Shano,1,0.0,0.0,2024-05-01
Advantagemissgraf,0,0.0,0.0,2024-05-01
Nordcorona,1,0.0,0.0,2024-05-01
Ildiko,0,0.0,0.0,2024-05-01
Amazon Prince,0,0.0,0.0,2024-05-01
Capitano,0,0.0,0.0,2024-05-01
Drish Venture,0,0.0,0.0,2024-05-01
Astoria,0,0.0,0.0,2024-05-01
Sa Sal,0,0.0,0.0,2024-05-01
