horse_name,bisherige_starts,bisherige_siege,siegrate_historisch,race_date
A Countach,18.0,0.0,0.0,2026-01-04
A Countach,19.0,0.0,0.0,2026-03-22
A Countach,20.0,0.0,0.0,2026-04-18
A Countach,21.0,0.0,0.0,2026-04-26
A Countach,22.0,0.0,0.0,2026-05-10
A Countach,23.0,0.0,0.0,2026-05-24
A Stolen Kiss,1.0,0.0,0.0,2026-04-19
A Stolen Kiss,2.0,1.0,0.5,2026-04-25
A Stolen Kiss,3.0,1.0,0.3333,2026-05-10
A Stolen Kiss,4.0,1.0,0.25,2026-05-23
A Stolen Kiss,5.0,1.0,0.2,2026-06-06
A'Ali The Sun,0.0,0.0,0.0,2026-05-23
Abachi,2.0,1.0,0.5,2026-05-01
Abacus,0.0,0.0,0.0,2026-04-19
Abacus,1.0,0.0,0.0,2026-06-07
Abana,1.0,0.0,0.0,2026-01-18
Abana,2.0,0.0,0.0,2026-04-06
Abba'S Anton,0.0,0.0,0.0,2026-04-25
Abba's Anton,8.0,0.0,0.0,2026-03-29
Abba's Anton,9.0,0.0,0.0,2026-04-12
Abba's Anton,10.0,0.0,0.0,2026-05-23
Abba's Anton,11.0,0.0,0.0,2026-06-07
Abdulhamid,3.0,0.0,0.0,2026-05-25
Abdulhamid,4.0,0.0,0.0,2026-05-31
Absacker,0.0,0.0,0.0,2026-05-01
Absacker,1.0,0.0,0.0,2026-06-04
Ace Of Spades,0.0,0.0,0.0,2026-04-12
Ace Of Spades,1.0,0.0,0.0,2026-04-25
Ace Of Spades,2.0,0.0,0.0,2026-06-04
Adar,6.0,0.0,0.0,2026-04-19
Adar,7.0,0.0,0.0,2026-05-09
Adar,8.0,0.0,0.0,2026-05-25
Adelaide,12.0,1.0,0.0833,2026-05-01
Adelaide,13.0,1.0,0.0769,2026-05-16
Adelaide,14.0,1.0,0.0714,2026-06-04
Adina,7.0,0.0,0.0,2026-04-26
Adina,8.0,0.0,0.0,2026-06-06
Adio,11.0,3.0,0.2727,2026-05-01
Adio,12.0,3.0,0.25,2026-05-25
Adios Amor,7.0,0.0,0.0,2026-05-01
Adios Amor,8.0,1.0,0.125,2026-05-23
Adios Amor,9.0,1.0,0.1111,2026-06-06
Adjo,0.0,0.0,0.0,2026-03-22
Adjo,1.0,0.0,0.0,2026-05-17
Adjo,2.0,0.0,0.0,2026-05-31
Adjö,15.0,1.0,0.0667,2026-01-18
Adjö,16.0,1.0,0.0625,2026-02-22
Aegis Power,14.0,2.0,0.1429,2026-03-22
Aegis Power,15.0,2.0,0.1333,2026-04-06
Aegis Power,16.0,2.0,0.125,2026-04-26
Aegis Power,17.0,2.0,0.1176,2026-05-09
Aegis Power,18.0,2.0,0.1111,2026-05-25
Aff Un Zo,0.0,0.0,0.0,2026-03-28
Aff Un Zo,1.0,0.0,0.0,2026-04-12
Aff Un Zo,2.0,0.0,0.0,2026-04-25
Aff Un Zo,3.0,0.0,0.0,2026-05-31
Aff un zo,6.0,0.0,0.0,2026-02-01
After Time,8.0,0.0,0.0,2026-02-01
After Time,9.0,0.0,0.0,2026-05-14
Against All Odds,8.0,1.0,0.125,2026-04-05
Age Of Aquarius,0.0,0.0,0.0,2026-04-18
Age Of Aquarius,1.0,0.0,0.0,2026-05-17
Age Of Aquarius,2.0,0.0,0.0,2026-06-04
Ageless Lips,17.0,1.0,0.0588,2026-03-22
Ageless Lips,18.0,1.0,0.0556,2026-04-06
Ageless Lips,19.0,2.0,0.1053,2026-05-01
Ageless Lips,20.0,2.0,0.1,2026-05-17
Ageless Lips,21.0,3.0,0.1429,2026-06-06
Agent Sim,18.0,4.0,0.2222,2026-04-05
Agent Sim,19.0,4.0,0.2105,2026-05-01
Aggenstein,2.0,0.0,0.0,2026-04-19
Aggenstein,3.0,0.0,0.0,2026-05-01
Aglaia,7.0,2.0,0.2857,2026-05-14
Aglaia,8.0,2.0,0.25,2026-06-04
Aida,0.0,0.0,0.0,2026-04-25
Aida,1.0,0.0,0.0,2026-05-31
Aigle Vaillant,3.0,1.0,0.3333,2026-04-12
Ajandra,11.0,0.0,0.0,2026-02-01
Ajaxania,3.0,0.0,0.0,2026-05-01
Ajaxania,4.0,0.0,0.0,2026-05-25
Ajdar Al Gunay,0.0,0.0,0.0,2026-05-08
Ajdar Al Gunay,1.0,0.0,0.0,2026-05-25
Akira Yasha,0.0,0.0,0.0,2026-06-06
Akronym,0.0,0.0,0.0,2026-05-23
Aktivist,0.0,0.0,0.0,2026-03-29
Aktivist,1.0,0.0,0.0,2026-05-01
Aktivist,2.0,1.0,0.5,2026-05-25
Al Baarez,0.0,0.0,0.0,2026-04-26
Al Baarez,1.0,0.0,0.0,2026-05-09
Al Hitmi,22.0,3.0,0.1364,2026-03-22
Al Hitmi,23.0,3.0,0.1304,2026-05-08
Al Hitmi,24.0,3.0,0.125,2026-05-25
Al Hitmi,25.0,3.0,0.12,2026-06-07
Alaska Lady,9.0,0.0,0.0,2026-04-18
Alaska Lady,10.0,0.0,0.0,2026-05-10
Alatemagicbaby,15.0,0.0,0.0,2026-05-08
Albarola,6.0,0.0,0.0,2026-04-19
Albarola,7.0,0.0,0.0,2026-05-17
Albertina,5.0,0.0,0.0,2026-04-06
Albertina,6.0,0.0,0.0,2026-05-08
Albertina,7.0,0.0,0.0,2026-05-24
Aleja,19.0,5.0,0.2632,2026-04-05
Aleja,20.0,5.0,0.25,2026-05-01
Aleja,21.0,5.0,0.2381,2026-05-10
Aleja,22.0,5.0,0.2273,2026-05-24
Algabas,12.0,1.0,0.0833,2026-04-19
Algabas,13.0,1.0,0.0769,2026-05-01
Algabas,14.0,1.0,0.0714,2026-05-23
Ali,3.0,1.0,0.3333,2026-02-22
Ali,4.0,1.0,0.25,2026-05-08
Ali,5.0,1.0,0.2,2026-05-25
Ali,6.0,2.0,0.3333,2026-06-07
Alisto King,0.0,0.0,0.0,2026-03-28
Alisto King,1.0,0.0,0.0,2026-04-25
Alive Again,0.0,0.0,0.0,2026-05-10
All My Loving,21.0,2.0,0.0952,2026-01-04
All My Loving,22.0,2.0,0.0909,2026-01-18
All My Loving,23.0,2.0,0.087,2026-02-01
All My Loving,24.0,2.0,0.0833,2026-02-22
All My Loving,25.0,2.0,0.08,2026-03-08
All My Loving,26.0,2.0,0.0769,2026-04-25
All My Loving,27.0,2.0,0.0741,2026-05-09
All Square,0.0,0.0,0.0,2026-04-06
All Square,1.0,1.0,1.0,2026-05-09
All Square,2.0,1.0,0.5,2026-06-06
All Told,0.0,0.0,0.0,2026-02-01
All Told,1.0,0.0,0.0,2026-03-28
All Told,2.0,0.0,0.0,2026-05-08
All Told,3.0,0.0,0.0,2026-05-31
Alla Stella,0.0,0.0,0.0,2026-05-14
Alleno,7.0,2.0,0.2857,2026-04-06
Alleno,8.0,2.0,0.25,2026-05-08
Alleno,9.0,3.0,0.3333,2026-06-07
Allez Chandos,7.0,0.0,0.0,2026-01-04
Allez La Grise,2.0,0.0,0.0,2026-04-05
Allez La Grise,3.0,0.0,0.0,2026-05-01
Ally McMagic,15.0,3.0,0.2,2026-05-10
Ally McMagic,16.0,3.0,0.1875,2026-06-06
Alma Mater,0.0,0.0,0.0,2026-05-03
Almanda,0.0,0.0,0.0,2026-04-26
Almanda,1.0,0.0,0.0,2026-05-17
Almenkonig,0.0,0.0,0.0,2026-05-31
Almotlaa,14.0,2.0,0.1429,2026-01-18
Alonia,1.0,0.0,0.0,2026-04-06
Alonia,2.0,0.0,0.0,2026-04-26
Alpatacco,0.0,0.0,0.0,2026-05-09
Alpenjager,0.0,0.0,0.0,2026-05-01
Alpenjager,1.0,0.0,0.0,2026-05-25
Alpenveilchen,0.0,0.0,0.0,2026-05-03
Alpenveilchen,1.0,0.0,0.0,2026-05-25
Alsebaran,3.0,0.0,0.0,2026-03-29
Alsebaran,4.0,0.0,0.0,2026-04-12
Alsebaran,5.0,0.0,0.0,2026-05-08
Alsebaran,6.0,0.0,0.0,2026-06-04
Alsterjung,0.0,0.0,0.0,2026-04-25
Alsterperle,4.0,0.0,0.0,2026-04-25
Alsterperle,5.0,0.0,0.0,2026-05-24
Altyn Eye,0.0,0.0,0.0,2026-05-09
Alunis,2.0,0.0,0.0,2026-05-30
Amaranto,21.0,2.0,0.0952,2026-04-18
Amaranto,22.0,2.0,0.0909,2026-05-01
Amaranto,23.0,2.0,0.087,2026-05-30
Amazing Anna,7.0,0.0,0.0,2026-04-19
Amazing Anna,8.0,0.0,0.0,2026-05-01
Amazing Anna,9.0,0.0,0.0,2026-05-23
Amazing Anna,10.0,0.0,0.0,2026-06-04
Amazing Girl,1.0,0.0,0.0,2026-05-01
Amazing Girl,2.0,0.0,0.0,2026-05-25
Amazing Luna,14.0,1.0,0.0714,2026-03-29
Amazing Luna,15.0,1.0,0.0667,2026-04-19
Amazing Luna,16.0,1.0,0.0625,2026-05-01
Amazing Luna,17.0,1.0,0.0588,2026-05-23
Amazing Luna,18.0,1.0,0.0556,2026-06-07
Amazing Pace,0.0,0.0,0.0,2026-06-07
Ameriyah,2.0,0.0,0.0,2026-01-18
