trainer,trainer_starts,trainer_siegrate
M. Klein,0.0,0.0
W. Knuiman/Niederlande,1.0,0.0
M. Alles,0.0,0.0
J. Göritz,0.0,0.0
Y. Barberot,0.0,0.0
W. M.M. Watlow-Eble,0.0,0.0
N. Prosek Arendsen/Tschechien,1.0,0.0
S. Schmitz,1.0,0.0
H. Kienemann,0.0,0.0
J. Römich,0.0,0.0
J. Meinecke,2.0,0.0
P. Blumenauer,0.0,0.0
C. Laffon-Parias,0.0,0.0
L. Comer/,1.0,0.0
V. Henkenjohann,1.0,0.0
J. Chapple-Hyam,0.0,0.0
E. Walker,0.0,0.0
J. Stanley Moore,1.0,1.0
P. Sogorb/Frankreich,0.0,0.0
P. Faulhaber,1.0,0.0
G. Rarick,1.0,1.0
A. Budka,0.0,0.0
J. Stephen O'Donoghue,0.0,0.0
M. Kacprzyk,1.0,0.0
S. Nigge/Frankreich,0.0,0.0
M. Geisler,0.0,0.0
D. Van Dijck,0.0,0.0
P. Tuma,0.0,0.0
M. G. Mintchev,7.0,0.14285714285714285
A. Faltejskova/Tschechien,0.0,0.0
F. Neuberg,4.0,0.25
A. Herlin/Schweden,0.0,0.0
V. Koreckova,0.0,0.0
F. Drozda,1.0,0.0
S. Plavac,0.0,0.0
S. Jane Hellier,3.0,0.0
M. Kriegsheim,4.0,0.0
B. Dunk,0.0,0.0
Z. Mimra,3.0,0.0
G. Arizkorreta Elosegui,0.0,0.0
S. Spurk,4.0,0.25
M. Delzangles/Frankreich,0.0,0.0
R. Varian,0.0,0.0
A. Rulec,2.0,0.0
J. u.Thady Gosden,0.0,0.0
V. Bracke,0.0,0.0
J. Verstrepen/Belgien,2.0,0.0
K. van den Bos/Niederlande,0.0,0.0
W. Muir u.Chris Grassick,0.0,0.0
D. Pavel,5.0,0.0
M. Lübcke,13.0,0.0
S. Mark Prescott/England,0.0,0.0
J. Harrington,0.0,0.0
P. van Kempen,5.0,0.0
A. Murphy,1.0,0.0
H. Stolberg,7.0,0.14285714285714285
