trainer,trainer_starts,trainer_siegrate
F. Fuhrmann,747.0,0.0736
H. Grewe,436.0,0.25
S. Smrczek,424.0,0.125
P. Schiergen,421.0,0.2565
A. Wöhler,401.0,0.2145
R. Dzubasz,345.0,0.1246
A. Suborics,315.0,0.146
Y. Almenräder,315.0,0.1333
D. Andreas Bolte,313.0,0.1246
F. Xaver Weißmeier,308.0,0.1136
C. Frhr. v. d. Recke,304.0,0.148
B. Nedorostek,291.0,0.1271
P. Vovcenko,288.0,0.1215
A. Kleinkorres,280.0,0.0929
W. Hickst,269.0,0.1524
M. Falk Weißmeier,238.0,0.105
O. Schnakenberg,237.0,0.0549
S. Richter,237.0,0.1266
J. Korpas,234.0,0.1197
M. Weiß,234.0,0.1752
K. Gernreich,227.0,0.0925
J. Mayer,225.0,0.0533
G. Geisler,218.0,0.1284
M. Angermann,215.0,0.0558
M. Figge,204.0,0.0588
J. Reese,194.0,0.1289
J. Boysen,192.0,0.1042
R. van der Meulen,174.0,0.1552
S. Weis,171.0,0.0819
J. Broz,165.0,0.097
A. Schleusner-Fruhriep,156.0,0.0897
G. Richter,152.0,0.0987
J. David Hillis,151.0,0.0596
C. Sprengel,149.0,0.1208
S. Schütz,139.0,0.1439
E. Fabianova,136.0,0.1618
C. J.-M. Wolters,126.0,0.0556
E. Mäder,122.0,0.1311
D. Paulick,118.0,0.1271
U. Schwinn,116.0,0.0603
J. Beckmann,113.0,0.0708
F. Jacobs,110.0,0.0818
W. Glanz,109.0,0.0642
J. Carvalho,108.0,0.1204
M. Timpelan,105.0,0.0667
S. Steinberg,98.0,0.2449
M. Hofer,88.0,0.0568
G. Batistic,86.0,0.1163
C. Bocskai,85.0,0.1059
J. Hartmann,85.0,0.0353
K. Kerekes,85.0,0.1176
M. Pecheur,84.0,0.1548
J. Manova,76.0,0.1447
E. Hinzmann,74.0,0.0676
D. Moser,70.0,0.1
A. Massaad,69.0,0.2029
B. Schrödl,68.0,0.0882
J. H. Smith,67.0,0.0896
